ID, 素数
1021, 2447
1022, 4231
1023, 6373
1024, 5659
1025, 5303
1026, 1021
1027, 3877
1028, 3163
1029, 9587
1030, 307
1031, 4591
1032, 8161
1033, 6733
1034, 1381
1035, 3881
1036, 3167
1037, 6379
1038, 4951
1039, 1741
1040, 311
1041, 8521
1042, 9949
1043, 5309
1044, 7451
1045, 3169
1046, 6737
1047, 2099
1048, 3527
1049, 313
1050, 4597
1051, 8167
1052, 4241
1053, 5669
1054, 3529
1055, 9239
1056, 673
1057, 1031
1058, 2459
1059, 4243
1060, 4957
1061, 1747
1062, 317
1063, 9241
1064, 8527
1065, 1033
1066, 6029
1067, 3889
1068, 7457
1069, 8171
1070, 2819
1071, 3533
1072, 4603
1073, 677
1074, 7459
1075, 7817
1076, 7103
1077, 9601
1078, 6389
1079, 8887
1080, 1753
1081, 2467
1082, 3181
1083, 1039
1084, 2111
1085, 3539
1086, 683
1087, 5323
1088, 6037
1089, 8179
1090, 4253
1091, 1399
1092, 2113
1093, 7823
1094, 7109
1095, 8893
1096, 4967
1097, 3541
1098, 8537
1099, 6397
1100, 5683
1101, 4969
1102, 1759
1103, 8539
1104, 9967
1105, 2473
1106, 3187
1107, 331
1108, 6043
1109, 4259
1110, 9613
1111, 7829
1112, 2833
1113, 4973
1114, 3547
1115, 9257
1116, 691
1117, 1049
1118, 8543
1119, 2477
1120, 3191
1121, 4261
1122, 5689
1123, 1051
1124, 9973
1125, 5333
1126, 6047
1127, 3907
1128, 6761
1129, 1409
1130, 2837
1131, 337
1132, 4621
1133, 8191
1134, 7477
1135, 6763
1136, 9619
1137, 7121
1138, 5693
1139, 3911
1140, 6053
1141, 7481
1142, 2129
1143, 9623
1144, 2843
1145, 3557
1146, 701
1147, 4271
1148, 2131
1149, 7841
1150, 7127
1151, 3559
1152, 1061
1153, 3917
1154, 3203
1155, 4273
1156, 7129
1157, 5701
1158, 1777
1159, 4987
1160, 347
1161, 1063
1162, 3919
1163, 7487
1164, 9629
1165, 349
1166, 5347
1167, 7489
1168, 1423
1169, 2137
1170, 9631
1171, 2851
1172, 709
1173, 3923
1174, 3209
1175, 6421
1176, 1783
1177, 353
1178, 4993
1179, 1069
1180, 9277
1181, 4637
1182, 8563
1183, 5351
1184, 1427
1185, 2141
1186, 6779
1187, 4639
1188, 6067
1189, 8209
1190, 1429
1191, 2143
1192, 4283
1193, 6781
1194, 7853
1195, 2857
1196, 8923
1197, 5711
1198, 1787
1199, 3571
1200, 9281
1201, 3929
1202, 6427
1203, 1789
1204, 359
1205, 4999
1206, 2503
1207, 9283
1208, 3931
1209, 3217
1210, 4643
1211, 7499
1212, 6073
1213, 9643
1214, 8929
